allele,total,positive,AUC0.1,AUPR,PPV
DRB1_0101,1403,195,0.0015961962981830531,0.13184267753762396,0.10256410256410256
DRB1_0102,229,30,0.0025125628140703514,0.16000486532008695,0.1
DRB1_0402,275,39,0.0,0.14239554275049235,0.1282051282051282
DRB1_0403,211,28,0.00234192037470726,0.10602937694393325,0.07142857142857142
DRB1_0404,205,26,0.0010743446497636442,0.10674658309088028,0.11538461538461539
DRB1_0701,392,59,0.0024940194431719858,0.13586734252321642,0.1016949152542373
DRB1_0804,228,34,0.0013644633110976349,0.14661289092838747,0.14705882352941177
DRB1_0901,316,39,0.004165509580672036,0.11536910018384236,0.07692307692307693
DRB1_1101,685,85,0.0019411764705882354,0.11936498579624424,0.10588235294117647
DRB1_1303,305,43,0.007633587786259542,0.22253765687909066,0.23255813953488372
DRB1_1401,271,44,0.008510212254705645,0.2569211211056218,0.22727272727272727
DRB1_1502,114,29,0.005679513184584178,0.31546815785439075,0.3103448275862069
H-2-IAb,392,52,0.003337104072398191,0.15931698260805216,0.17307692307692307
HLA-DPA10103-DPB10201,268,150,0.010960451977401132,0.7380903179406852,0.7266666666666667
HLA-DPA10103-DPB10601,177,47,0.003600654664484452,0.3411760755811595,0.3829787234042553
,,,0.003814114458805822,0.2131829118029138,0.2001359729181322
