allele,total,positive,AUC0.1,AUPR,PPV
BoLA-DRB3_01001,935,81,0.0022262699858328267,0.08899470054847769,0.06172839506172839
BoLA-DRB3_01201,420,52,0.011444397993311036,0.19695111669595566,0.2692307692307692
BoLA-DRB3_01601,407,51,0.004681647940074906,0.16858615595895463,0.17647058823529413
BoLA-DRB3_02002,847,73,0.01080492725921206,0.1480016633440664,0.1780821917808219
DRB1_0101,2278,222,0.009235767869036352,0.14656327361094662,0.15765765765765766
DRB1_0102,308,35,0.002302459445316588,0.13045057255471498,0.11428571428571428
DRB1_0402,354,29,0.0009549071618037134,0.09258540058317496,0.06896551724137931
DRB1_0701,537,58,0.003671441940824995,0.1120163271315609,0.10344827586206896
DRB1_0804,294,28,0.00416219119226638,0.11829131980469208,0.14285714285714285
DRB1_0901,407,45,0.0052179251074278695,0.12900575029217573,0.13333333333333333
DRB1_1101,898,100,0.00775689223057644,0.13740416101011438,0.16
DRB1_1102,234,29,0.0021867115222876364,0.1466467848328736,0.13793103448275862
DRB1_1303,371,39,0.007105344454742045,0.14170276791462091,0.1794871794871795
DRB1_1401,436,55,0.0038177046051061795,0.19251775068474147,0.16363636363636364
DRB1_1501,289,35,0.00764904386951631,0.22148940281293236,0.2
DRB1_1503,219,26,0.0,0.1287400546986072,0.038461538461538464
DRB3_0301,327,31,0.010462074978204011,0.1332851565584458,0.1935483870967742
DRB4_0103,255,26,0.009405441719852203,0.19552427518113438,0.19230769230769232
H-2-IAb,676,61,0.02025856324137012,0.2515860615802135,0.3114754098360656
HLA-DPA10103-DPB10201,1661,122,0.007443091639237742,0.08950276871408434,0.13114754098360656
HLA-DPA10103-DPB10301,1299,113,0.011267143219567519,0.15653933288517802,0.168141592920354
HLA-DPA10103-DPB10401,1999,170,0.006429099797382047,0.09826257821748119,0.11764705882352941
HLA-DPA10103-DPB10402,896,75,0.008380024360535933,0.11161305738066643,0.13333333333333333
HLA-DPA10103-DPB10601,488,40,0.014508928571428574,0.16563946404311716,0.225
HLA-DPA10103-DPB11501,502,38,0.004707350272232304,0.0943923041273255,0.07894736842105263
HLA-DPA10201-DPB10101,954,81,0.009446636403490163,0.12821634306224794,0.13580246913580246
HLA-DPA10201-DPB10901,885,66,0.006327006327006327,0.11551065993285374,0.10606060606060606
HLA-DPA10201-DPB11001,934,74,0.005798240100565681,0.1077011097622404,0.13513513513513514
HLA-DPA10201-DPB11101,421,28,0.011359505634314792,0.13608303423382667,0.14285714285714285
HLA-DPA10201-DPB11301,1088,101,0.008742363598061933,0.13836830443917203,0.16831683168316833
HLA-DPA10201-DPB11401,1220,102,0.003941737696867655,0.09638800257645877,0.0784313725490196
HLA-DPA10201-DPB11701,454,37,0.016170847106098906,0.19107841054170532,0.24324324324324326
HLA-DPA10202-DPB10501,1984,175,0.010255073837163389,0.13292838356836886,0.15428571428571428
HLA-DQA10102-DQB10602,415,36,0.001759014951627089,0.07930777384514442,0.027777777777777776
,,,0.007349405177421814,0.13887865362141988,0.14791277582540494
