allele,total,positive,AUC0.1,AUPR,PPV
BoLA-DRB3_01001,4595,405,0.006738560358289873,0.09498120132700547,0.11604938271604938
BoLA-DRB3_01101,833,85,0.0030670022019502986,0.11904171997144744,0.09411764705882353
BoLA-DRB3_01201,2262,271,0.006974188275283054,0.13271182156417022,0.13653136531365315
BoLA-DRB3_01601,2096,224,0.007974664224664224,0.127036408835427,0.14732142857142858
BoLA-DRB3_02002,4111,389,0.005659049437168561,0.10292278135714475,0.11053984575835475
DRB1_0101,11337,1039,0.005372199130025341,0.09545289683859479,0.0933589990375361
DRB1_0102,1573,170,0.01339147205567901,0.1688847797960179,0.2235294117647059
DRB1_0301,1469,129,0.007289135716765012,0.09379432194497986,0.10852713178294573
DRB1_0302,591,52,0.0,0.08518247510724107,0.019230769230769232
DRB1_0401,1415,146,0.009672161231473384,0.13210902893911156,0.18493150684931506
DRB1_0402,1855,185,0.010815665965366563,0.13180176895201295,0.16216216216216217
DRB1_0403,1482,133,0.008862036484836997,0.11870024686809075,0.14285714285714285
DRB1_0404,1321,112,0.012824205364527946,0.12603459379920462,0.19642857142857142
DRB1_0405,1018,124,0.004284837988020495,0.12055556138985296,0.10483870967741936
DRB1_0407,1015,111,0.011191501235749024,0.14724459649224683,0.1981981981981982
DRB1_0701,2689,279,0.007421288240455687,0.12329860875243429,0.14695340501792115
DRB1_0801,831,79,0.005117155938594129,0.1215418059366711,0.16455696202531644
DRB1_0802,1268,121,0.010800723410694086,0.15543685475952107,0.19008264462809918
DRB1_0803,658,69,0.0034201914322974335,0.11877252016140678,0.08695652173913043
DRB1_0804,1452,142,0.009154929577464787,0.12989104543683633,0.19014084507042253
DRB1_0901,2023,223,0.008608619830592924,0.1324256234439749,0.15695067264573992
DRB1_1001,1098,104,0.010311871227364183,0.12644336252943342,0.19230769230769232
DRB1_1101,4479,466,0.007479447161531888,0.12014115909058073,0.15450643776824036
DRB1_1102,1030,110,0.005573122529644268,0.11220400680903209,0.12727272727272726
DRB1_1104,857,78,0.006764095981040783,0.11211080414613292,0.11538461538461539
DRB1_1201,446,46,0.004945652173913044,0.09902769130827363,0.10869565217391304
DRB1_1202,666,84,0.009695630829651448,0.198795870026107,0.19047619047619047
DRB1_1301,1091,102,0.006046908146473957,0.11094933595304493,0.13725490196078433
DRB1_1302,398,48,0.003809523809523809,0.10468120936278982,0.14583333333333334
DRB1_1303,1770,172,0.00591582501382542,0.11480364683481553,0.13372093023255813
DRB1_1401,2186,245,0.008719469240555573,0.13454141886719867,0.15918367346938775
DRB1_1501,1505,160,0.005288104089219331,0.11554379089323547,0.11875
DRB1_1502,890,78,0.010294303397751675,0.1087344425148276,0.15384615384615385
DRB1_1503,1123,114,0.011501747431015594,0.15245081552884188,0.18421052631578946
DRB1_1601,569,61,0.006163676261778754,0.1360600506855817,0.14754098360655737
DRB3_0101,351,35,0.0012658227848101268,0.1309789985869892,0.08571428571428572
DRB3_0202,933,79,0.006032668306999081,0.09721182821029753,0.12658227848101267
DRB3_0301,1612,159,0.005289425045557445,0.10278125323569273,0.1069182389937107
DRB4_0103,1236,123,0.009569098386401652,0.12479848378819121,0.18699186991869918
DRB5_0101,1189,115,0.010582139098048742,0.12917093629805218,0.1826086956521739
H-2-IAb,3422,301,0.006576391202666324,0.09537643148643932,0.10299003322259136
HLA-DPA10103-DPB10201,8309,749,0.008229314571103622,0.1086678148645086,0.1308411214953271
HLA-DPA10103-DPB10301,6578,590,0.009570553536451434,0.11179067372115847,0.14915254237288136
HLA-DPA10103-DPB10401,9985,954,0.007313964223393589,0.10282286097393219,0.1289308176100629
HLA-DPA10103-DPB10402,4413,377,0.006809733617600746,0.08920798803905494,0.10875331564986737
HLA-DPA10103-DPB10601,2407,197,0.006858534120403335,0.09536154224142192,0.1116751269035533
HLA-DPA10103-DPB11501,2511,178,0.006174236768976626,0.07804890233205866,0.07865168539325842
HLA-DPA10201-DPB10101,4730,349,0.005881414207874718,0.07620240291152189,0.09169054441260745
HLA-DPA10201-DPB10901,4415,363,0.008864445405323086,0.09769657307488736,0.14049586776859505
HLA-DPA10201-DPB11001,4623,406,0.008303243615158442,0.10407593448362998,0.13793103448275862
HLA-DPA10201-DPB11101,2076,135,0.01046043467475719,0.08632952954090398,0.14074074074074075
HLA-DPA10201-DPB11301,5387,436,0.007288630412908892,0.09609582371024755,0.11467889908256881
HLA-DPA10201-DPB11401,6119,495,0.009715936031725506,0.10218026259013506,0.13535353535353536
HLA-DPA10201-DPB11701,2252,185,0.007399416833379099,0.09093859212969804,0.11351351351351352
HLA-DPA10202-DPB10501,9841,760,0.0064041318194726984,0.09111911904822889,0.09473684210526316
HLA-DPA10202-DPB11901,1000,72,0.0077526340996168595,0.0999679952881812,0.09722222222222222
HLA-DQA10102-DQB10602,2064,173,0.009937550245611246,0.11347900387001877,0.15606936416184972
HLA-DQA10102-DQB10604,545,63,0.0035236777975367183,0.12161029011630643,0.12698412698412698
,,,0.007430213141361476,0.11500381908215247,0.13607713523994575
