Protein,AUC
0_tr|Q9FPR0|Q9FPR0_POAPR,0.9896551724137931
100_sp|P09259|GE_VZVD,0.8898026315789473
101_sp|P01308|INS_HUMAN,0.5319148936170213
102_sp|P07202|PERT_HUMAN,0.9467969598262758
103_tr|Q63MW8|Q63MW8_BURPS,0.9353348729792148
104_sp|Q16849|PTPRN_HUMAN,0.9979231568016614
105_sp|Q16849|PTPRN_HUMAN,0.9989615784008308
106_sp|P9WGU1|PSTS1_MYCTU,0.9052924791086351
107_sp|Q63WH0|ISPH1_BURPS,0.9477124183006536
108_tr|Q63MW8|Q63MW8_BURPS,0.48036951501154734
109_sp|P38948|MPAG1_ALNGL,0.9659863945578231
10_sp|P0DTC2|SPIKE_SARS2,0.507154213036566
110_sp|Q8I5D2|MSP9_PLAF7,0.9640387275242047
111_sp|P0DTC2|SPIKE_SARS2,0.9624900239425379
112_tr|Q9FPR0|Q9FPR0_POAPR,0.9862068965517241
113_sp|Q05329|DCE2_HUMAN,0.7946902654867256
114_sp|Q9NQR9|G6PC2_HUMAN,0.9941520467836258
115_sp|P01308|INS_HUMAN,1.0
116_tr|Q63JW5|Q63JW5_BURPS,0.9781553398058253
117_sp|Q7ZAK5|TACY_STRR6,0.9847161572052402
118_sp|Q7ZAK5|TACY_STRR6,0.988962472406181
119_sp|Q7ZAK5|TACY_STRR6,0.9977924944812362
11_sp|P0DTC2|SPIKE_SARS2,0.4610492845786963
120_sp|P17763|POLG_DEN1W,0.9949659461060113
121_sp|P01308|INS_HUMAN,0.8367346938775511
122_sp|P55087|AQP4_HUMAN,0.9900990099009901
123_tr|A5K1W7|A5K1W7_PLAVS,0.9798270893371758
124_sp|P17763|POLG_DEN1W,0.9508439443292863
125_sp|P17643|TYRP1_HUMAN,0.13984674329501912
126_tr|Q9ZP03|Q9ZP03_POAPR,0.9958847736625515
127_sp|P14946|MPAL1_LOLPR,0.9958847736625515
128_sp|Q41260|MPAP1_PHAAQ,0.9959839357429718
129_sp|P9WPE5|CH10_MYCTU,0.9879518072289156
12_sp|P0DTC2|SPIKE_SARS2,0.4030206677265501
130_sp|P0DTC2|SPIKE_SARS2,0.856120826709062
131_tr|Q63JW5|Q63JW5_BURPS,0.8058252427184466
132_sp|P12809|18KD_MYCLE,1.0
133_sp|P9WNK7|ESXA_MYCTU,0.3375
134_sp|P9WNK7|ESXA_MYCTU,0.675
135_sp|P9WNK7|ESXA_MYCTU,0.7375
136_sp|P9WNK7|ESXA_MYCTU,0.85
137_sp|P9WNK7|ESXA_MYCTU,0.17500000000000004
138_sp|P36222|CH3L1_HUMAN,0.9564032697547684
139_sp|P02749|APOH_HUMAN,0.8117283950617284
13_sp|P0DTC2|SPIKE_SARS2,0.9268680445151033
140_sp|Q8GZP6|ANAO2_ANAOC,0.988558352402746
141_sp|P04019|VE6_HPV11,0.9776119402985075
142_sp|Q28133|ALL2_BOVIN,0.9551282051282052
143_sp|Q28133|ALL2_BOVIN,0.41666666666666663
144_sp|Q28133|ALL2_BOVIN,0.8525641025641025
145_sp|P20701|ITAL_HUMAN,0.9973913043478261
146_tr|Q63MW8|Q63MW8_BURPS,0.7482678983833718
147_sp|Q3Y8M6|TPM_PENAT,0.9776951672862454
148_tr|Q63MW8|Q63MW8_BURPS,0.9676674364896074
149_sp|Q04844|ACHE_HUMAN,0.9810126582278481
14_sp|P02458|CO2A1_HUMAN,0.9572591587516961
150_sp|P00451|FA8_HUMAN,0.8271128271128271
151_tr|J3QL64|J3QL64_HUMAN,0.9790209790209791
152_tr|J3QQK6|J3QQK6_HUMAN,0.9874476987447699
153_sp|P02686|MBP_HUMAN,0.9896551724137931
154_tr|J3QL64|J3QL64_HUMAN,0.9859154929577465
155_tr|J3QQK6|J3QQK6_HUMAN,0.9915966386554622
156_sp|P02686|MBP_HUMAN,0.9930795847750865
157_tr|J3QL64|J3QL64_HUMAN,0.971830985915493
158_tr|J3QL64|J3QL64_HUMAN,0.9577464788732395
159_sp|P02686|MBP_HUMAN,0.9860627177700348
15_sp|P02458|CO2A1_HUMAN,0.9843962008141113
160_tr|J3QL64|J3QL64_HUMAN,0.9785714285714285
161_sp|P02686|MBP_HUMAN,0.9895470383275261
162_tr|J3QL64|J3QL64_HUMAN,0.9928571428571429
163_sp|P02686|MBP_HUMAN,0.9965156794425087
164_tr|J3QL64|J3QL64_HUMAN,0.9785714285714285
165_sp|P02458|CO2A1_HUMAN,0.9339686861810755
166_sp|P14946|MPAL1_LOLPR,0.9876543209876543
167_sp|Q9QZS0|CO4A3_MOUSE,0.829593693147362
168_sp|Q3Y8M6|TPM_PENAT,0.8252788104089219
169_tr|A0A3B3IU09|A0A3B3IU09_HUMAN,0.5679824561403508
16_sp|P08134|RHOC_HUMAN,0.9662921348314607
170_sp|P09259|GE_VZVD,0.6595394736842105
171_tr|O04828|O04828_HORVU,0.98
172_tr|Q63MW8|Q63MW8_BURPS,0.5057736720554272
173_sp|P15494|BEV1A_BETPN,0.993103448275862
174_sp|P15494|BEV1A_BETPN,0.8620689655172413
175_sp|P15494|BEV1A_BETPN,0.9862068965517241
176_sp|P07566|POLS_RUBVT,0.9819219790675547
177_sp|Q7K740|CSP_PLAF7,0.9922077922077922
178_sp|Q7K740|CSP_PLAF7,1.0
179_sp|P03277|CAPSH_ADE02,0.4973767051416579
